Assalamualaikum| Waalaikumsallam ada yang bisa saya bantu ? silahkan bertanyaa
Bolehkah seorang istri bekerja ?|  Tugas utama seorang istri adalah mengurusi rumah tangga dan mendidik anak-anaknya. Namun, adakalanya mereka menghadapi kondisi yang menuntut mereka bkerja. Misalnya : 1. Seorang janda yang harus mencari nafkah sendiri. 2. Suami miskin, sehingga ia harus membantu suami. 3. Kedua orang tua sangat miskin atau telah uzur 4. Keberadaannya memang dibutuhkan masyarakat seperti mengajar, menjadi bidan atau dokter, dan lain sebagainya.
Apa saja batasan istri sebelum melangkah ke luar untuk bekerja ?|  1. Mendapatkan izin dari suami 2. Menundukan pandangan 3. Tidak berkhalwat dan tidak bercampur dengan laki-laki. 4. Memakai hijab sesuai syari’at 5. Memilih pekerjaan yang sesuai denga syari’at, fitrah, dan kemampuan fisiknya. 6. Tidak mengabaikan kewajiban-kewajibannya sebagai istri.
Bolehkah menunda punya anak karena masih kuliah ?|  Sah-sah saja mengatur jumlah dan kelahiran anak. Seperti mengupayakan dalam rentang waktu tertentu tidak terjadi kehamilan. Yang tidak boleh adalah mencegah sama sekali tidak terjadi kehamilan dalam pernikahan. sementara waktu menunda kehamilan dengan alasan masih kuliah itu diperbolehkan karena itu hanya menunda tidak mencegah terjadinya kehamilan.
Siapakah yang harus mendidik anak ?| Seorang ayah bertanggung jawab atas pendidikan seluruh anggota keluarga. Fungsi ibu sebagai pembantu dan pengganti ayah yang berhalangan dengan alasan tertentu seperti bekerja dan lainnya. Namun, tanggung jawab yang utama tetap berada di pundak sang ayah sebagai kepala rumah tangga.
Bagaimana melakukan Hubungan suami istri saat sedang hamil ?| Berhubungan suami istri ketika istri sedang hamil diperbolehkan selama ibu dan janin sehat. Ada beberapa posisi jimak yang mungkin dilakukan ketika istri hamil, diantaranya ? 1. Istri diatas 2. Suami istri berdampingan. 3. Duduk berhadapan. 4. Suami mendatangi istri dari belakang.
Apabila seorang istri lebih tua apakah mempengaruhi Qowam seorang suami ?|  Qowam dalam surah An-Nisa ayat 34 berarti pemimpin. Seorang suami adalah pemimpin bagi keluarganya yang harus mengatur, mendidik, membimbing, dan mengarahkan istri kejalan yang benar. Faktor usia tidak mempengaruhi seseorang untuk menjadi pemimpin. Orang yang lebih tua belum tentu pandai untuk memimpin,begitupun orang yang lebih muda belum tentu lemah dalam memimpin.
Dasar diperintahkannya menikah|  Perintah menikah didasarkan oleh Firmah Allah SWT dalam surah An-Nisa ayat 3 yang berarti “ …Maka kawinlah wanita-wanita yang kamu senangi; dua, tiga, atau empat. Kemudian jika kamu takut tidak akan dapat berlaku adil , maka (kawinilah) seorang saja, atau budak-budak yang kamu miliki…”
Hadits tentang memilih pasangan yang ideal|  HR. Bukhari dan Muslim bersabda “ Wanita dinikahi karena empat perkara; karena hartanya, keturunannya, kecantikannya, dan agamanya; maka pilihlah wanita yang taat beragama , niscaya engkai beruntung.”
Apa pengertian Khitbah ?|  Khitbah adalah menunjukan rasa cinta kepada seorang wanita tertentu sekaligus bentuk pemberitahuan kepada wanita yang dimaksud atau walinya, bahwasanya si peminang menyukai wanita itu.
Apa saja macam-macam Khitbah ?|  Khitbah ada dua macam. Pertama, khitbah sharih/ jelas contohnya “ aku ingin menikah dengan dia”. Kedua, khitbah ghairu sharih atau perkataan yang mengandung sindiran, contohnya “ sepertinya kamu sudah cocok untuk menikah.” Atau “ Biar kamu lebih bahagia sepertinya kamu butuh pendamping deh…”
Apa saja Ketentuan wanita yang akan dikhitbah ? | Berdasarkan hadits Rasulullah SAW bahwa wanita yang hendak dinikahi itu didasarkan pada empat kriteria yaitu kekayaan, nasab atau keturunannya, kecantikannya, dan agamanya.
Apa saja Syarat wanita yang akan dikhitbah ?| Syarat wanita yang akan dikhitbah ada dua yaitu bukan termasuk mahram kita , dan bukan orang yang dalam pinangan orang lain.
Apa itu Nadhor ?|  Nadhor adalah melihat calon pasangan suami/istri.
Apa hukum Nadhor ?| Hukum Nador menurut pada para ulama yaitu mubah dan sunnah.
Hadits tentang nadhor| Rasulullah Bersabda “ Lihatlah dia lebih dahulu , karena nantinya akan lebih melanggengan mawaddah dan kasih sayang antara kalian berdua.” (HR. Tirmidzi, Ibnu Majah, Ahmad, dan Daruquth-ni).
Apa saja yang boleh dilihat saat khitbah ?| Batasan yang ditentukan oleh ulama adalah wajah dan telapak tangan. Wajah untuk kecantikannya dan telapak tangan untuk kesuburan dan berat badannya.
Apakah disyaratkan untuk meminta izin kepada wanita yang dilamar ketika akan mengkhitbah ?| Menurut Jumhur ulama tidak mensyaratkan untuk meminta izin karena dia akan sengaja berdandan untuk menutup kekurangannya. Sedangkan menurut Malikiyah, wajib meminta izin untuk tidak terjadi kefasikan bagi pihak wanita / terdzalimi.
Apa itu mahar ?| Mahar adalah harta yang berhak didapatkan seorang istri yang harus diberikan oleh sang suami, baik karena akad maupun persetubuhan hakiki.
Apa Hukum memberikan mahar bagi laki-laki ?| Hukum memberikan mahar bagi laki-laki kepada wanita adalah wajib.
Apakah mahar termasuk rukun pernikahan ?| Meskipun mahar hukumnya wajib tetapi mahar bukanlah rukun ataupun syarat dalam pernikahan.
Berapakah ukuran mahar menurut syari’at ?| Menurut Hanafiyah jumlah minimal mahar adalah sepuluh dirham. Malikiyah berpendapat, standar mahar yang paling rendah adalah seperempat dinar atau tiga dirham perak murni. Sedangkan Syafi’iyah dan Hambaliah berpendapat bahwa tidak ada batasan terendah bagi mahar. Tetapi disunnahkan mahar mulai dari empat ratus dirham sampai lima ratus dirham. Jika melebihi lima ratus dirham, maka tidak apa-apa.
Apa saja syarat-syarat mahar ?| Mahar ditetapkan dengan tiga syarat yaitu : 1. Suatu barang yang bisa dimiliki dan dijual. 2. Sesuatu yang diketahui. 3. Terbebas dari tipuan 4. Pernikahan tersebut adalah pernikahan yang sah.
Apa saja macam-macam mahar ?| Mahar terbagi menjadi dua, yakni mahar musamma dan mahar mitsil.
Apa itu Mahar musamma ?| Mahar musamma adalah mahar yang ditentukan di dalam akad atau yang setelahnya dengan saling keridhaan.
Apa itu mahar mitsil ?| Mahar mitsil adalah mahar seorang perempuan sebanding dengan mahar seorang istri dari pihaknya pada waktu akad.
Hukum Kesulitan seorang suami untuk memberikan mahar| Menurut Hanafi dan Hambali jika seorang suami tidak mampu untuk membayar mahar yang bersifat cepat maka seorang istri tidak memiliki hak untuk meminta pernikahannya dibatalkan dengan kondisi apapun juga. Menurut pendapat Maliki dan Syafi’I seorang istri mempunyai hak untuk minta fasakh (pisah), akan tetapi ketika sebelum terjadinya persetubuhan saja menurut Maliki. Sedangkan menurut Syafi’i sama saja baik itu sebelum atau sesudah persetubuhan.
Bagaimana hukumnya menambah atau mengurangi akad ?| Menurut Hanafi dan Hambali tambahan mahar setelah akad dimasukan ke dalam akad. Sedangkan menurut Syafi’I, bahwa tambahan tidak dimasukan kedalam akad. Hukumnya adalah Hibah, yang berarti apabila suami bercerai dengan istri maka dia tidak dapat mengambil sesuatu yang telah ia hibahkan.
Siapa yang bertanggung jawab atas mahar ?| Apabila mahar tersebut rusak sebelum akad, maka yang bertanggung jawab adalah suami. Sedangkah apabila mahar tersebut rusak setelah akad, maka istri yang bertanggung jawab atas mahar tersebut.
Apa itu akad nikah ?| Akad Nikah merupakan suatu ikatan syar’i antara pasangan suami istri untuk membangun sebuah rumah tangga yang syar’i.
Apa saja rukun akad nikah ?| Rukun Akad Nikah diantaranya yaitu : 1. Adanya kedua mempelai yang tidak memiliki penghalang nikah. 2. Adanya penyerahan (Ijab) yang diucapkan wali atau orang yang menggantikan posisinya. 3. Adanya penerimaan (Qobul), yang diucapkan suami atau orang yang menggantikannya. 4. Dihadiri oleh dua saksi dari laki-laki.
Bagaimana akad dapat dikatakan sah ?| Ketika telah dikatakannya kalimat ijab “saya nikahkan kamu dengan anaku yang ini…” dan dijawab dengan qabul “ saya terima nikahnya anak bapak yang ini…” atau semacamnya dengan disaksikan atau diumumkan (diketahui khalayak) maka pernikahan tersebut sah.
Apakah kalimat akad harus menggunakan bahasa arab ?| Terdapat 3 pendapat yang pertama Menurut pendapat Hanafiyah dan Syafi’iyah akad nikah sah dengan bahasa apapun meskipun orang tersebut bisa dalam berbahasa arab. Yang kedua Sebagian ulama Syafi’iyah juga berpendapat bahwa akad nikah tidak sah dengan bahasa selain bahasa Arab, meskipun ia tidak bisa bahasa Arab. Yang terakhir yaitu pendapat ketiga madzhab Syafi’i yaitu akad nikah sah menggunakan bahasa selain bahasa arab, dengan syarat orang tersebut tidak bisa berbahasa arab.
Apa saja syarat-syarat sahnya pernikahan ?| Syarat sahnya pernikahan ada 6 : 1. Masing-masing kedua mempelai telah ditentukan 2. Kerelaan kedua mempelai 3. Yang melakukan akad dari pihak wanita adalah walinya. 4. Adanya saksi dalam akad nikah. 5. Keharusan meminta prsetujuan wanita sebelum pernikahan. 6. Tidak terdapat hal yang menghalangi keabsahan pernikahan.
Apa saja Hal yang menghalangi keabsahan pernikahan ?| 1. Keduanya termasuk mahram 2. Masih ada hubungan saudara sepersusuan 3. Berbeda agama 4. Sang wanita masih dalam masa iddah.
Hadits tentang kerelaan mempelai menjalani pernikahan| Nabi bersabda “Al-Ayyimu (wanita yang pisah dengan suaminya karena meninggal atau cerai ) tidak dinikahkan sebelum mendapatkan perintah darinya (harus diungkapkan dengan jelas persetujuannya). Dan gadis tidak dinikahkan sebelum diminta persetujuannya (baik dengan perkataan atau diam). Para sahabat bertanya, ‘Wahai Rasulullah, bagaimana persetujuannya ?’ Beliau menjawab ‘Dia dian (sudah dianggap setuju)’.” (HR. Bukhari,no.4741)
Hadits tentang menikahkan wanita oleh walinya| Rasulullah SAW Bersabda “Wanita yang tidak dinikahkan oleh walinya maka nikahnya batil, maka nikahnya batil, maka nikahnya batil. Jika lelaki ttelah mencampurinya, maka sang wanita berhak mendapatkan mas kawin untuk kehormatan dari apa yang telah menimpanya. Dan jika merela terlunta-lunta (tidak memiliki wali), maka penguasa dapat menjadi wali bagi wannita yang tidak mempunyai wali.” (HR. Ibnu Majah no. 1524; Sunan Ibni Majah, no. 1879)
Hadits tentang adanya saksi dalam akad nikah| Rasulullah SAW bersabda “ Tidak sah nikah kecuali dengan seorang wali dan dua orang saksi yang adil.” ( HR. Baihaqi dan Ibni Hibban. Dishahihkan Al-Albani dalam Shahih Al-jami’ish Shagir, no.7557)
Hadits tentang keharusan meminta persetujuan wanita sebelum pernikahan| Nabi SAW bersabda “seorang janda tidak boleh dinikahkan kecuali setelah diminta perintahnya, dan seorang gadis tidak boleh dinikahkan kecuali setelah dimintai izinnya.” Para sahabat bertanya,”Wahai Rasulullah, bagaimana izinnya ?”Beliau menjawab, “Bila ia diam.” (HR. Bukhari, no 5136; dan Muslin, no 1419)
Bagaimana adab saat nikah ?| 1. Hindari hal yang menyebabkan ketidakabsahan akad nikah. 2. Dianjurkan adanya khutbatul hajjah. 3. Tidak ada anjuran membaca syahadat, istigfar atau membaca Fatihah sebelum melaksanakan akad. 4. Hendaknya pengantin wanita tidak ikut dalam majlis akad nikah. 5. Tidak ada ladal khusus bagi ijab qabul. 6. Hindari bermesraan setelah akad di tempat umum. 7. Akad nikah tidak harus di masjid. 8. Dianjurkan untuk menyebutkan mahar ketika akad. 9. Dianjurkan mengikuti prosedur administrasi akad nikah. 10. Tidak ada anjuran melafalkan ijab qabul dalam sekali nafas. 11. Doa setelah akad nikah. 12. Dianjurkan menikah pada bulan Syawwal. 13. Pengantin wanita boleh meminjam pakaian dan perhiasan. 14. Mengumumkan pernikahan dengan memukul rebana.
Apa itu wali nikah ?| Wali nikah adalah seseorang yang mengucapkan ijab ketika akad nikah. Wali nikah merupakan salah satu dari rukun nikah, apabila tidak ada wali maka pernikahan tersebut tidaklah sah.
Apa saja syarat-syarat wali nikah ?| 1. Islam. 2. Berakal. 3. Baligh (dewasa). 4. Merdera 5. Laki-laki (seorang wanita tidak berhak menjadi wali nikah ).
Seperti apa Urutan untuk wali nikah ?| 1. Ayah kandung. 2. kakek kandung. 3. Saudara laki-laki kandung. 4. Saudara laki-laki seayah. 5. Keponakan laki-laki dari saudara kandung laki-laki 6. Anak laki-laki dari saudara seayah 7. Saudara laki-laki ayah (paman) 8. Anak laki-laki dari saudara laki-laki ayah (sepupu).
Apa itu wakil wali nikah ?| wakil wali nikah adalah seseorang yang menggantikan wali nikah untuk menikahkan meskipun dia tidak termasuk pada daftar para wali.
Rukun perwakilan wali nikah| Pertama, Almuwakkil (orang yang mewakilkan), kedua, wakil, ketiga muwakkal fih (sesuatu yang diwakilkan), keempat shigat ( lafal mewakilkan ).
Syarat perwakilan wali nikah| 1. Bagi muwakkil disyaratkan untuk sah atau diperbolehkan melakukan perbuatan yang diwakilkan. 2. Sebagai wakil harus memiliki kemampuan untuk melaksanakan perbuatan yang dilimpahkan muwakkil kepadanya. 3. Bagi muwakkal fih disyaratkan untuk menerima penggantian, perbuatan atau barang tersebut adalah dimiliki oleh muwakkil, perbuatan yang diwakilkan adalah perbuatan yang tidak dilarang, dan yang terakhir diketahui dengan jelas. Muwakkil harus dengan jelas menyebutkan pihak yang diwakili kepada wakil. 4. Bagi shigat disyaratkan bahwa shigat itu merupakan ucapan dari muwakkil yang menyatakan kerelaannya untuk diwakilkan oleh orang lain.
Faktor penyebab perwakilan wali nikah| 1. Seseorang tidak dapat melaksanakan sekaligus menyelesaikan urusannya dikarenakan sibuk. 2. Urusannya berada di tempat yang jauh dan sulit untuk dijangkau. 3. Seseorang tidak mengetahui prosedur atau tata cara melaksanakan urusan yang diwakilkan tersebut. 4. Seseorang yang mempunyai urusan sedang ada udzur syar’i misalnya sakit.
Bagaimana lafal ijab oleh wakil wali ?| “ saya nikahkan dan saya kawinkan Fulanah binti Muhammad yang diwakilkan kepada saya dengan mas kawin …, secara kontan”.
Bagaimana lafal qabul oleh mempelai laki-laki ?| “ Saya terima nikah dan kawinnya Fulannah untuk saya dengan mas kawin yang telah disebutkan.”
Apa itu saksi nikah ?| Saksi nikah adalah seseorang yang menyaksikan akad nikah seseorang yang merupakan rukun nikah.
Apa saja syarat saksi nikah ?| untuk bisa dijadikan saksi seseorang harus memiliki kriteria antara lain beragama islam, aqil, baligh, memiliki sifat al-‘adalah atau adil, minimal dua orang, laki-laki, dan yang terakhir adalah seorang yang merdeka.
Apa itu walimatul urs’ ?| kata walimah diambil dari bahasa arab dari kata al-walamu yang berarti perhimpunan. Bentuk kata kerjanya adalah aulama yang bermakna berpesta, yaitu mengadakan jamuan makanan untuk menggambarkan kegembiraan ketika pernikahan. Walimatul urs adalah sebagai tanda pengumuman untuk pernikahan yang menghalalkan hubungan suami istri, dan perpindahan status kepemilikan.
Apa tujuan walimatul urs ?| Tujuan dari walimatul urs adalah untuk mengumumkan pernikahan kepada khalayak agar tidak menimbulkan syubhat(kecurigaan) dari masyarakat yang mengira orang yang sudah melakukan akad nikah tersebut melakukan perbuatan yang tidak dibolehkan syara’.
Siapa yang lebih baik menanggung walimah ?| Dijelaskan oleh Syaikh Ibnu Utsaimin, “Walimah disyariatkan bagi suami. Sebab Nabi SAW memerintahkan Abdurrahman bi Auf, ‘Laksanakanlah walimah’
